;Budget Ads;FB Feed Ads Cost;IG Feed Ads Cost;IG Stories Ads Cost;FB Feed Sales;IG Feed Ads Sales;IG Stories Ads Sales;Unit Sold Ads;Unit Sold Organic;Organic Sales;Material Cost;Email marketing Hubspot Cost;Email marketing Sales;Unit Sold Email marketing;Profit reinvested in Ads;Influencer Cost;Unit Sold Influencer;Influencer Sales;Shipping Cost;Etsy Charges;Other investments;Taxes (20%Profit);Total Unit Sold;Total Sales;Total Organic Sales;Total Ads Sales;Total Influencer Sales;Total Email Marketing Sales;Total Costs;Profit;Real Profit after reinvestment
01/01/2023;300;180;60;60;338,4;53,14285714;50;17,66171429;3;75;128,3085714;0;125;5;-66,22257143;0;0;0;102,6468571;41,70028571;400;0;25,66171429;641,5428571;75;441,5428571;0;125;972,6557143;-331,1128571;-264,8902857
01/02/2023;300;180;60;60;338,4;53,14285714;50;17,66171429;5,4;135;150,3085714;0;175;7;16,42742857;0;0;0;120,2468571;48,85028571;50;16,42742857;30,06171429;751,5428571;135;441,5428571;0;175;685,8331429;82,13714286;49,28228571
01/03/2023;316,4274286;189,8564571;63,28548571;63,28548571;356,9301394;56,05285878;52,73790476;18,62883612;9,72;243;190,7441806;0;245;9,8;35,89241813;0;0;0;152,5953445;61,99185869;52,5;35,89241813;38,14883612;953,720903;243;465,720903;0;245;810,1512305;179,4620906;107,6772544
01/04/2023;335,8924181;201,5354509;67,17848363;67,17848363;378,8866476;59,50094264;55,98206969;19,7747864;17,496;437,4;254,953932;0;343;13,72;68,39502727;0;0;0;203,9631456;82,8600279;55,125;68,39502727;50,9907864;1274,76966;437,4;494,36966;0;343;1001,189551;341,9751364;205,1850818
01/05/2023;368,3950273;221,0370164;73,67900545;73,67900545;415,5495908;65,25854769;61,39917121;21,68829239;31,4928;787,32;411,9454619;0;480,2;19,208;131,6133852;100;10;250;329,5563695;133,8822751;57,88125;131,6133852;82,38909239;2059,72731;787,32;542,2073097;250;480,2;1533,273769;658,0669258;394,8401555
01/06/2023;431,6133852;258,9680311;86,32267703;86,32267703;486,8598985;76,45722823;71,93556419;25,41010764;33,06744;826,686;443,2297382;0;504,21;20,1684;108,5344224;100;10;250;354,5837905;144,0496649;200;108,5344224;88,64594764;2216,148691;826,686;635,2526909;250;504,21;1782,011001;542,6721121;325,6032673
01/07/2023;408,5344224;245,1206535;81,70688448;81,70688448;460,8268285;72,36895483;68,0890704;24,05139415;34,720812;868,0203;449,7451307;0;529,4205;21,17682;144,7415032;100;10;250;359,7961046;146,1671675;60,7753125;144,7415032;89,94902615;2248,725654;868,0203;601,2848537;250;529,4205;1669,759641;723,707516;434,2245096
01/08/2023;444,7415032;266,8449019;88,94830064;88,94830064;501,6684156;78,78278057;74,12358387;26,1829912;36,4568526;911,421315;474,377524;0;555,891525;22,235661;128,397566;100;10;250;379,5020192;154,1726953;63,81407813;151,05596;94,8755048;2371,88762;911,421315;654,57478;250;555,891525;1767,66378;755,2798002;475,8262741
01/09/2023;428,397566;257,0385396;85,67951321;85,67951321;483,2324545;75,88756884;71,39959434;25,22078471;38,27969523;956,9923808;484,2396199;0;583,6861013;23,34744405;119,5179839;100;10;250;387,3916959;157,3778765;67,00478203;159,3573118;96,84792399;2421,1981;956,9923808;630,5196177;250;583,6861013;1783,768852;796,7865592;517,9112635
01/10/2023;419,5179839;251,7107903;83,90359678;83,90359678;473,2162858;74,31461429;69,91966398;24,69802256;40,19367999;1004,842;497,032594;0;612,8704063;24,51481625;300;100;10;250;397,6260752;161,5355931;70,35502113;167,8191406;99,40651881;2485,16297;1004,842;617,4505641;250;612,8704063;1813,886408;839,0957028;371,2765623
01/11/2023;600;360;120;120;676,8;106,2857143;100;35,32342857;42,20336399;1055,0841;566,3367481;0;643,5139266;25,74055707;315;100;10;250;453,0693985;184,0594431;73,87277219;170,8690757;113,2673496;2831,683741;1055,0841;883,0857143;250;643,5139266;2148,207438;854,3453787;368,476303
01/12/2023;615;369;123;123;693,72;108,9428571;102,5;36,20651429;44,31353219;1107,838305;587,738157;0;675,689623;27,02758492;330,75;100;10;250;470,1905256;191,014901;77,5664108;179,4361581;117,5476314;2938,690785;1107,838305;905,1628571;250;675,689623;2220,946152;897,1807905;386,9946324
